isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH EAST 178 0
true false EAST NORTH 177 10
true false NORTH WEST 176 20
true false WEST NORTH 176 20
true false NORTH EAST 175 30
true false EAST WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH EAST 174 40
true false EAST WEST 174 40
true false WEST NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST EAST 174 40
true false EAST WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH EAST 174 40
true false EAST EAST 174 40
true false EAST EAST 174 40
true false EAST NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST NORTH 174 40
true false NORTH EAST 174 40
true false EAST EAST 174 40
true false EAST NORTH 173 50
true false NORTH EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH WEST 172 60
true false WEST EAST 172 60
true false EAST WEST 172 60
true false WEST NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST NORTH 172 60
true false NORTH WEST 172 60
true false WEST NORTH 172 60
true false NORTH NORTH 172 60
true false NORTH WEST 172 60
true false WEST WEST 172 60
true false WEST EAST 172 60
true false EAST WEST 172 60
true false WEST NORTH 172 60
true false NORTH WEST 172 60
true false WEST WEST 172 60
true false WEST WEST 172 60
true false WEST EAST 172 60
true false EAST EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST NORTH 172 60
true false NORTH SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH WEST 172 60
true false WEST EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH WEST 172 60
true false WEST NORTH 172 60
true false NORTH EAST 172 60
true false EAST SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH SOUTH 172 60
true false SOUTH EAST 172 60
true false EAST NORTH 171 70
true false NORTH WEST 171 70
true false WEST WEST 171 70
true false WEST EAST 171 70
true false EAST NORTH 171 70
true false NORTH WEST 171 70
true false WEST WEST 171 70
true false WEST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH EAST 171 70
true false EAST NORTH 171 70
true false NORTH EAST 171 70
true false EAST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH EAST 171 70
true false EAST WEST 171 70
true false WEST WEST 171 70
true false WEST EAST 171 70
true false EAST WEST 171 70
true false WEST EAST 171 70
true false EAST EAST 171 70
true false EAST EAST 171 70
true false EAST WEST 171 70
true false WEST EAST 171 70
true false EAST NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST NORTH 171 70
true false NORTH WEST 171 70
true false WEST EAST 171 70
true false EAST EAST 171 70
true false EAST NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH EAST 171 70
true false EAST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH WEST 171 70
true false WEST NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST NORTH 171 70
true false NORTH WEST 171 70
true false WEST EAST 171 70
true false EAST NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH EAST 171 70
true false EAST NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH EAST 171 70
true false EAST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH EAST 171 70
true false EAST WEST 171 70
true false WEST WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH WEST 171 70
true false WEST EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST EAST 171 70
true false EAST NORTH 171 70
true false NORTH WEST 171 70
true false WEST NORTH 171 70
true false NORTH WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH WEST 171 70
true false WEST WEST 171 70
true false WEST SOUTH 171 70
true false SOUTH SOUTH 171 70
true false SOUTH WEST 171 70
